Year,DOY,Hour,IMF_Mag,Bx_GSE,By_GSE,Bz_GSE,Proton_Density,Plasma_Speed,Kp_index
2023,4,2,6.1,7.2,-3.8,7.8,17.3,428.0,40
2023,4,3,0.6,3.4,-10.3,5.1,5.4,417.0,47
2023,4,4,-1.0,5.6,-11.6,7.0,3.2,410.0,47
2023,4,5,-1.9,9.3,-10.5,10.0,3.6,413.0,47
2023,4,6,-2.6,11.2,-11.2,11.5,3.3,418.0,43
2023,4,7,-2.4,14.5,-9.1,14.4,5.2,418.0,43
2023,4,8,0.0,17.8,-4.2,17.6,7.3,418.0,43
2023,4,9,-0.6,18.6,-1.4,18.5,7.1,416.0,33
2023,4,10,-0.4,18.6,2.2,18.7,5.3,410.0,33
2023,4,11,-0.9,18.1,4.9,18.4,4.6,401.0,33
2023,4,12,-0.4,16.7,8.2,17.1,3.8,400.0,33
2023,4,13,-2.1,13.6,11.8,13.9,4.9,402.0,33
2023,4,14,-0.6,9.8,11.9,9.7,12.2,398.0,33
2023,4,15,1.1,9.5,10.7,9.0,25.4,399.0,20
2023,4,16,1.3,5.1,14.6,3.8,23.8,397.0,20
2023,4,17,0.0,6.8,14.1,4.9,16.1,404.0,20
2023,4,18,2.2,6.4,14.9,3.8,11.6,400.0,17
2023,4,19,1.4,1.6,16.5,-1.9,13.9,397.0,17
2023,4,20,1.7,-0.5,17.1,-4.6,12.3,388.0,17
2023,4,21,0.7,-2.8,17.3,-7.2,10.1,385.0,7
2023,4,22,0.7,-4.7,16.7,-9.1,11.1,382.0,7
2023,4,23,0.8,-7.5,15.1,-11.4,11.6,381.0,7
2023,5,0,-0.3,-7.7,14.8,-11.4,12.6,382.0,3
2023,5,1,-0.2,-7.9,14.5,-11.3,12.9,381.0,3
2023,5,2,0.6,-9.0,15.2,-12.1,11.5,381.0,3
2023,5,3,1.1,-10.1,16.2,-12.8,13.0,385.0,7
2023,5,4,1.7,-13.8,14.3,-15.5,14.2,388.0,7
2023,5,5,1.7,-14.8,12.4,-15.8,14.5,384.0,7
2023,5,6,0.4,-14.8,12.3,-15.2,17.1,381.0,10
2023,5,7,1.6,-16.7,9.5,-16.6,18.2,378.0,10
2023,5,8,1.4,-15.8,9.1,-15.4,17.7,377.0,10
2023,5,9,1.8,-16.8,6.3,-16.4,14.6,374.0,13
2023,5,10,2.4,-14.8,6.0,-14.4,14.1,368.0,13
2023,5,11,2.7,-13.2,3.7,-12.9,12.7,363.0,13
2023,5,12,0.7,-13.0,-7.5,-13.3,10.3,356.0,27
2023,5,13,0.7,-13.9,-3.4,-14.0,12.1,358.0,27
2023,5,14,1.0,-11.3,-8.3,-11.2,7.4,353.0,27
2023,5,15,1.2,-10.2,-8.0,-9.8,8.1,349.0,30
2023,5,16,1.0,-10.4,-5.5,-9.8,9.1,355.0,30
2023,5,17,2.6,-10.8,-3.5,-10.2,8.5,345.0,30
2023,5,18,1.8,-10.5,-4.1,-9.6,7.7,351.0,27
2023,5,19,0.9,-9.2,-4.9,-7.9,7.4,360.0,27
2023,5,20,2.4,-9.2,-3.6,-8.0,6.9,345.0,27
2023,5,21,3.1,-10.0,-2.9,-8.8,6.0,342.0,27
2023,5,22,2.8,-10.5,-0.5,-9.9,5.0,344.0,27
2023,5,23,-0.7,-6.0,6.1,-7.5,4.4,355.0,27
2023,6,0,0.2,-5.0,5.7,-6.4,4.4,352.0,10
2023,6,1,-1.7,-2.3,7.2,-4.1,4.1,357.0,10
2023,6,2,1.1,-3.8,7.2,-5.3,4.2,340.0,10
2023,6,3,-0.3,-6.6,6.2,-7.6,3.9,358.0,3
2023,6,4,0.7,-9.4,5.4,-10.1,3.0,358.0,3
2023,6,5,0.1,-8.8,5.6,-9.3,2.5,358.0,3
2023,6,6,-1.2,-7.8,5.9,-8.0,3.7,364.0,3
2023,6,7,-2.1,-10.3,0.4,-10.3,3.8,367.0,3
2023,6,8,0.3,-10.4,3.8,-10.3,3.0,366.0,3
2023,6,9,1.3,-10.3,3.9,-10.1,4.4,351.0,7
2023,6,10,1.9,-10.7,3.3,-10.5,3.2,362.0,7
2023,6,11,-4.1,-8.5,5.2,-8.2,3.5,394.0,7
2023,6,12,-1.9,-6.2,5.8,-6.0,3.6,393.0,10
2023,6,13,-1.0,-8.3,3.2,-8.3,3.1,396.0,10
2023,6,14,-2.0,-6.1,7.3,-6.2,2.9,397.0,10
2023,6,15,-2.3,-5.9,7.3,-6.3,2.6,400.0,3
2023,6,16,-1.5,-7.4,6.8,-8.0,1.7,406.0,3
2023,6,17,-0.4,-8.8,6.2,-9.6,1.8,398.0,3
2023,6,18,-0.3,-8.8,6.0,-9.8,1.9,408.0,13
2023,6,19,-1.1,-8.6,5.2,-9.5,2.1,427.0,13
2023,6,20,-0.9,-6.4,3.5,-7.1,2.8,442.0,13
2023,6,21,2.9,-6.6,0.4,-6.5,3.0,452.0,13
2023,6,22,-0.1,-4.9,0.9,-5.0,4.1,451.0,13
2023,6,23,1.7,-7.8,1.0,-7.8,3.8,453.0,13
2023,7,0,-2.6,-5.3,3.7,-6.1,3.5,451.0,10
2023,7,1,3.9,-6.4,-0.7,-6.0,3.2,446.0,10
2023,7,2,0.3,-6.4,3.2,-7.0,3.8,447.0,10
2023,7,3,0.8,-6.9,1.8,-7.1,3.9,442.0,23
2023,7,4,3.6,-4.5,-0.3,-4.4,3.8,426.0,23
2023,7,5,1.0,-6.0,-0.1,-6.0,4.4,445.0,23
2023,7,6,6.0,-3.2,-0.5,-3.2,3.6,398.0,10
2023,7,7,3.2,-5.4,1.9,-5.4,3.8,417.0,10
2023,7,8,4.8,-5.2,2.6,-5.1,3.8,407.0,10
2023,7,9,2.8,-5.4,4.5,-5.2,4.1,419.0,3
2023,7,10,4.8,-2.3,4.4,-2.1,4.2,405.0,3
2023,7,11,0.3,-3.8,5.1,-3.6,4.3,425.0,3
2023,7,12,-2.3,-5.2,3.6,-5.1,4.3,441.0,3
2023,7,13,2.7,-3.0,4.3,-3.0,4.3,404.0,3
2023,7,14,2.3,-3.8,5.0,-3.9,4.2,408.0,3
2023,7,15,2.2,-5.6,0.6,-5.6,4.7,412.0,27
2023,7,16,5.5,1.9,-0.9,2.0,4.2,391.0,27
2023,7,17,3.3,-2.5,2.2,-2.8,4.5,407.0,27
2023,7,18,2.6,-3.9,4.0,-4.6,4.6,413.0,23
2023,7,19,2.5,-3.3,3.4,-4.0,4.7,416.0,23
2023,7,20,4.9,-3.1,2.0,-3.5,4.6,398.0,23
2023,7,21,1.8,-0.5,5.5,-2.0,5.1,420.0,3
2023,7,22,3.8,-1.2,1.9,-1.7,4.9,405.0,3
2023,7,23,3.7,0.8,3.1,-0.2,5.1,405.0,3
2023,8,0,2.4,-4.0,-1.3,-3.5,5.2,409.0,20
2023,8,1,3.9,-0.5,-2.5,0.2,5.0,398.0,20
2023,8,2,4.3,2.1,-1.9,2.5,4.9,380.0,20
2023,8,3,2.9,-4.4,-4.1,-3.5,999.9,9999.0,23
2023,8,4,-0.1,-6.0,0.2,-6.0,999.9,9999.0,23
2023,8,5,4.5,-4.3,0.8,-4.4,999.9,9999.0,23
2023,8,6,2.8,-2.7,3.9,-2.9,999.9,9999.0,20
2023,8,7,4.2,-4.5,1.7,-4.5,999.9,9999.0,20
2023,8,8,1.7,-4.4,5.1,-4.3,999.9,9999.0,20
2023,8,9,2.7,0.5,-3.4,0.4,999.9,9999.0,17
2023,8,10,3.1,0.8,-3.7,0.6,999.9,9999.0,17
2023,8,11,2.1,-3.7,-3.6,-3.8,999.9,9999.0,17
2023,8,12,2.6,-4.9,-2.0,-4.9,999.9,9999.0,30
2023,8,13,2.9,-3.1,-3.5,-3.1,999.9,9999.0,30
2023,8,14,4.0,-3.3,-1.2,-3.3,999.9,9999.0,30
2023,8,15,3.6,-3.9,-0.9,-3.8,5.0,392.0,13
2023,8,16,3.1,-3.3,1.4,-3.4,5.1,394.0,13
2023,8,17,1.9,-4.4,1.8,-4.6,5.0,400.0,13
2023,8,18,2.7,-4.1,2.7,-4.6,999.9,9999.0,10
2023,8,19,2.9,-3.4,2.5,-3.9,999.9,9999.0,10
2023,8,20,1.5,-4.0,1.9,-4.4,999.9,9999.0,10
2023,8,21,0.7,-3.9,3.3,-4.7,999.9,9999.0,7
2023,8,22,1.1,-3.0,2.1,-3.5,999.9,9999.0,7
2023,8,23,2.8,-3.5,-0.8,-3.1,999.9,9999.0,7
2023,9,0,1.0,-3.8,0.7,-3.8,999.9,9999.0,17
2023,9,1,1.5,-1.5,-0.6,-1.3,999.9,9999.0,17
2023,9,2,0.8,-3.3,0.7,-3.4,999.9,9999.0,17
2023,9,3,-0.1,-3.1,3.3,-3.7,999.9,9999.0,3
2023,9,4,-0.1,-1.8,4.2,-2.4,999.9,9999.0,3
2023,9,5,2.3,-0.6,3.6,-1.0,999.9,9999.0,3
2023,9,6,3.1,-1.5,2.0,-1.6,999.9,9999.0,3
2023,9,7,2.5,-2.7,-0.2,-2.7,999.9,9999.0,3
2023,9,8,4.2,0.9,0.6,0.9,999.9,9999.0,3
2023,9,9,4.6,-1.4,-1.1,-1.4,999.9,9999.0,10
2023,9,10,5.0,0.0,2.6,0.1,999.9,9999.0,10
2023,9,11,5.3,-1.7,0.8,-1.7,999.9,9999.0,10
2023,9,12,4.4,-3.5,-0.6,-3.5,4.8,347.0,7
2023,9,13,4.1,-2.6,-2.7,-2.6,4.8,345.0,7
2023,9,14,3.0,-3.4,-1.5,-3.3,5.9,351.0,7
2023,9,15,3.2,-3.4,-2.1,-3.2,5.9,347.0,17
2023,9,16,3.2,-1.9,-3.4,-1.5,5.5,346.0,17
2023,9,17,2.3,-3.6,-2.5,-3.1,6.0,350.0,17
2023,9,18,2.6,-4.1,-2.3,-3.5,5.9,346.0,20
2023,9,19,5.2,-2.6,0.9,-2.7,5.5,328.0,20
2023,9,20,4.5,-2.4,-0.9,-2.1,6.2,335.0,20
2023,9,21,4.4,-3.7,0.1,-3.6,7.2,335.0,13
2023,9,22,4.9,-3.4,1.3,-3.6,6.9,332.0,13
2023,9,23,2.7,-2.8,1.8,-3.2,8.8,329.0,13
2023,10,0,3.3,-3.2,-0.6,-2.9,9.8,331.0,7
2023,10,1,3.0,-5.1,2.3,-5.5,9.4,341.0,7
2023,10,2,4.7,-4.5,0.0,-4.4,9.8,341.0,7
2023,10,3,2.8,-3.1,5.4,-4.2,10.1,359.0,7
2023,10,4,4.4,-4.9,2.2,-5.2,9.4,353.0,7
2023,10,5,3.6,-4.6,3.2,-4.9,9.8,355.0,7
2023,10,6,4.4,-5.8,3.1,-6.0,9.1,367.0,7
2023,10,7,4.9,-5.4,2.9,-5.5,9.1,363.0,7
2023,10,8,5.2,-5.1,2.2,-5.1,9.7,367.0,7
2023,10,9,3.9,-4.5,3.4,-4.4,10.3,373.0,7
2023,10,10,4.9,-6.0,2.7,-5.9,10.6,366.0,7
2023,10,11,5.2,-1.3,2.5,-1.2,10.2,361.0,7
2023,10,12,4.9,-3.4,2.7,-3.4,9.9,359.0,20
2023,10,13,5.5,-0.8,-2.5,-0.8,9.8,357.0,20
2023,10,14,2.0,0.8,-5.1,1.0,10.2,371.0,20
2023,10,15,3.5,-5.2,-0.1,-5.2,10.0,365.0,30
2023,10,16,1.4,-1.5,-0.9,-1.4,9.9,373.0,30
2023,10,17,-2.7,7.3,-1.8,7.5,9.6,388.0,30
2023,10,18,-1.7,5.4,-0.7,5.4,10.6,379.0,17
2023,10,19,4.2,0.3,3.1,-0.5,9.8,365.0,17
2023,10,20,4.7,-6.9,1.4,-7.0,8.5,366.0,17
2023,10,21,4.6,-6.7,0.7,-6.6,8.9,369.0,20
2023,10,22,3.9,-5.6,-1.4,-4.9,8.6,372.0,20
2023,10,23,3.3,-6.6,0.1,-6.3,8.6,375.0,20
2023,11,0,1.2,-4.0,-2.3,-3.1,8.9,389.0,17
2023,11,1,3.9,-6.7,2.1,-7.0,8.0,375.0,17
2023,11,2,5.1,-3.9,3.5,-4.7,7.5,370.0,17
2023,11,3,5.1,0.4,-0.2,0.4,8.8,379.0,27
2023,11,4,1.4,-1.9,-3.9,-1.2,9.0,396.0,27
2023,11,5,2.8,-5.6,1.6,-5.8,8.7,387.0,27
2023,11,6,4.5,-4.8,0.5,-4.8,8.2,375.0,17
2023,11,7,4.5,-6.0,0.4,-6.0,8.4,377.0,17
2023,11,8,3.3,-5.7,1.4,-5.7,8.5,386.0,17
2023,11,9,3.4,-5.3,-0.7,-5.3,8.3,387.0,17
2023,11,10,1.6,-4.2,-4.2,-4.3,8.5,397.0,17
2023,11,11,3.9,-6.1,-2.2,-6.1,8.1,389.0,17
2023,11,12,2.9,-6.6,1.4,-6.6,7.9,390.0,10
2023,11,13,3.0,-6.8,2.5,-6.9,8.3,392.0,10
2023,11,14,5.0,-4.6,2.5,-4.7,7.0,372.0,10
2023,11,15,3.3,-5.7,0.3,-5.7,7.2,383.0,20
2023,11,16,3.1,-3.9,-1.9,-3.6,7.6,391.0,20
2023,11,17,3.7,-5.9,-1.3,-5.6,7.3,395.0,20
2023,11,18,5.3,-5.3,-0.9,-5.0,7.0,387.0,23
2023,11,19,5.0,-4.3,-0.3,-4.1,7.5,392.0,23
2023,11,20,5.7,0.2,1.0,-0.1,7.8,390.0,23
2023,11,21,4.7,-3.3,1.1,-3.5,7.6,394.0,23
2023,11,22,4.4,-3.3,-3.4,-2.0,7.9,400.0,23
2023,11,23,2.7,-3.6,2.2,-4.1,7.9,410.0,23
2023,12,0,4.1,-3.3,2.1,-3.8,7.8,404.0,30
2023,12,1,3.5,1.0,5.4,-0.7,8.3,413.0,30
2023,12,2,4.1,-1.7,3.5,-2.6,8.5,410.0,30
2023,12,3,5.8,-1.9,0.1,-1.9,8.2,406.0,20
2023,12,4,3.6,-1.5,3.3,-2.1,8.2,414.0,20
2023,12,5,6.0,-4.3,0.6,-4.3,7.9,398.0,20
2023,12,6,6.3,-2.8,-2.7,-2.6,7.4,394.0,20
2023,12,7,5.2,-3.9,-2.8,-3.8,7.7,408.0,20
2023,12,8,4.0,-6.2,1.2,-6.2,7.8,415.0,20
2023,12,9,4.4,-5.3,-1.5,-5.3,7.3,414.0,17
2023,12,10,4.1,-5.9,0.6,-5.9,7.7,418.0,17
2023,12,11,6.1,-2.6,2.7,-2.6,8.3,410.0,17
2023,12,12,5.9,-0.2,4.3,-0.2,9.4,415.0,20
2023,12,13,3.9,0.1,3.1,0.0,10.0,426.0,20
2023,12,14,5.6,-0.7,3.1,-0.9,10.0,419.0,20
2023,12,15,4.9,-2.9,2.6,-3.1,9.0,413.0,20
2023,12,16,4.5,-5.2,-0.3,-5.1,8.5,408.0,20
2023,12,17,5.5,-3.8,0.6,-3.8,7.8,396.0,20
2023,12,18,3.7,-5.9,0.7,-5.9,8.4,404.0,17
2023,12,19,5.0,-3.9,-2.1,-3.2,7.8,391.0,17
2023,12,20,5.0,-2.3,-0.5,-2.1,7.5,389.0,17
2023,12,21,5.0,-2.6,-3.1,-1.5,6.9,384.0,30
2023,12,22,4.6,-2.5,-3.1,-1.3,7.3,384.0,30
2023,12,23,4.1,-3.3,-2.1,-2.4,8.4,391.0,30
2023,13,0,4.1,-4.1,0.4,-4.0,9.0,394.0,23
2023,13,1,4.6,-0.7,3.5,-1.7,8.6,391.0,23
2023,13,2,5.6,-2.8,0.3,-2.8,7.6,373.0,23
2023,13,3,5.0,-3.9,2.1,-4.3,7.4,370.0,17
2023,13,4,3.5,-6.5,-1.8,-6.0,5.9,372.0,17
2023,13,5,0.1,-5.0,-5.4,-4.2,5.7,384.0,17
2023,13,6,-1.1,-4.8,-5.4,-4.3,4.4,396.0,20
2023,13,7,0.0,-3.5,-3.1,-3.3,3.7,398.0,20
2023,13,8,-3.4,-3.5,-4.2,-3.4,3.8,413.0,20
2023,13,9,-2.5,-2.3,-5.0,-2.3,3.2,406.0,23
2023,13,10,-2.4,-3.6,-5.2,-3.6,4.3,396.0,23
2023,13,11,-2.9,-4.0,-4.9,-4.0,4.7,395.0,23
2023,13,12,0.5,-1.8,-2.0,-1.8,4.7,373.0,23
2023,13,13,2.7,-3.2,0.6,-3.2,4.9,362.0,23
2023,13,14,1.2,1.0,3.2,0.8,5.4,379.0,23
2023,13,15,2.7,-1.8,-1.1,-1.7,6.0,370.0,17
2023,13,16,1.6,-2.7,-2.3,-2.3,6.0,377.0,17
2023,13,17,3.2,-3.2,-1.8,-2.8,6.2,374.0,17
2023,13,18,3.2,-6.6,-2.0,-6.0,8.1,397.0,33
2023,13,19,-0.0,-5.5,-5.8,-3.7,9.9,423.0,33
2023,13,20,3.7,-6.7,-3.4,-5.4,8.5,423.0,33
2023,13,21,-1.8,-2.5,-8.9,0.5,5.3,456.0,40
2023,13,22,0.7,0.2,-3.8,1.5,6.4,496.0,40
2023,13,23,2.0,-3.3,-2.2,-2.4,5.9,480.0,40
2023,14,0,2.7,0.2,0.0,0.2,4.8,480.0,30
2023,14,1,5.1,-4.5,-4.1,-3.0,4.4,490.0,30
2023,14,2,3.4,-1.5,1.4,-1.8,3.4,509.0,30
2023,14,3,2.3,-0.8,3.9,-1.7,2.9,515.0,33
2023,14,4,4.2,-5.3,-0.3,-5.1,2.7,497.0,33
2023,14,5,3.8,-3.6,3.0,-4.0,2.5,507.0,33
2023,14,6,4.2,-1.3,3.6,-1.7,2.7,515.0,23
2023,14,7,2.5,-2.5,3.0,-2.7,2.3,540.0,23
2023,14,8,3.4,-0.8,5.6,-1.0,2.1,524.0,23
2023,14,9,4.2,-2.8,4.5,-2.8,2.4,495.0,17
2023,14,10,3.8,-1.1,6.0,-1.1,2.2,484.0,17
2023,14,11,3.9,-4.1,4.3,-4.1,2.2,453.0,17
2023,14,12,5.0,-0.7,4.6,-0.8,2.4,451.0,7
2023,14,13,6.3,-0.9,2.9,-1.0,2.0,454.0,7
2023,14,14,6.4,-1.4,2.9,-1.6,1.8,449.0,7
2023,14,15,5.7,1.8,4.1,1.3,2.4,447.0,10
2023,14,16,6.9,0.6,3.3,0.1,2.1,430.0,10
2023,14,17,6.8,-3.1,1.9,-3.4,1.7,424.0,10
2023,14,18,6.8,-4.7,-0.7,-4.4,1.8,425.0,17
2023,14,19,5.6,-5.9,-2.0,-5.1,2.2,432.0,17
2023,14,20,5.2,-6.0,-4.1,-4.5,2.8,425.0,17
2023,14,21,3.1,-5.4,-5.7,-3.2,3.2,421.0,27
2023,14,22,1.3,-6.6,-6.3,-4.1,3.9,434.0,27
2023,14,23,5.9,-3.8,-6.6,-1.3,3.7,418.0,27
2023,15,0,4.0,-5.6,-5.1,-3.6,4.0,438.0,47
2023,15,1,-3.0,-7.5,-2.0,-6.5,6.1,471.0,47
2023,15,2,-4.5,-7.1,-4.4,-5.5,6.2,486.0,47
2023,15,3,-1.7,-7.7,-5.2,-6.2,5.8,470.0,37
2023,15,4,-1.6,-6.4,-3.8,-5.5,6.4,477.0,37
2023,15,5,-0.6,-6.8,-5.0,-5.9,6.5,464.0,37
2023,15,6,-1.6,-7.7,-5.0,-7.1,6.0,476.0,37
2023,15,7,0.2,-6.9,-6.6,-6.4,5.6,467.0,37
2023,15,8,-1.5,-7.2,-7.1,-6.9,5.1,470.0,37
2023,15,9,3.1,-5.3,-8.2,-5.2,3.8,444.0,37
2023,15,10,5.2,-4.4,-7.4,-4.3,2.9,431.0,37
2023,15,11,5.0,-4.0,-6.9,-3.9,3.5,437.0,37
2023,15,12,4.4,-5.5,-6.2,-5.3,3.8,436.0,37
2023,15,13,4.7,-5.5,-5.5,-5.2,3.9,422.0,37
2023,15,14,5.5,-5.4,-4.3,-5.0,4.5,414.0,37
2023,15,15,5.9,-5.9,-4.6,-5.3,4.0,419.0,37
2023,15,16,5.2,-5.3,-6.4,-4.2,3.8,419.0,37
2023,15,17,4.2,-4.5,-7.1,-3.0,4.0,415.0,37
2023,15,18,4.0,-6.3,-4.8,-4.9,5.3,410.0,40
2023,15,19,3.9,-7.4,-4.7,-5.8,4.8,431.0,40
2023,15,20,2.1,-9.6,-3.7,-8.0,4.9,461.0,40
2023,15,21,0.3,-10.5,-4.0,-8.6,5.8,477.0,50
2023,15,22,0.3,-11.0,-3.8,-9.0,8.0,466.0,50
2023,15,23,1.9,-8.6,-0.8,-7.8,10.7,462.0,50
2023,16,0,-1.7,2.8,4.0,1.3,20.1,487.0,40
2023,16,1,-3.2,2.5,4.0,1.1,16.5,505.0,40
2023,16,2,-2.8,0.6,2.1,-0.0,15.6,515.0,40
2023,16,3,-2.8,2.9,1.1,2.5,13.0,521.0,17
2023,16,4,-2.0,3.6,0.6,3.4,12.5,518.0,17
2023,16,5,-2.2,2.9,0.1,2.8,12.8,514.0,17
2023,16,6,-1.8,1.0,0.2,1.0,14.9,514.0,30
2023,16,7,-1.0,0.6,-0.9,0.7,12.3,502.0,30
2023,16,8,1.4,0.8,0.9,0.8,10.6,487.0,30
2023,16,9,3.6,-0.8,0.3,-0.8,9.4,475.0,30
2023,16,10,1.9,-0.1,-0.5,-0.1,6.6,475.0,30
2023,16,11,-0.0,3.4,0.9,3.4,4.6,462.0,30
2023,16,12,-1.0,2.8,5.5,2.6,6.1,467.0,33
2023,16,13,-3.1,2.4,0.4,2.4,9.3,471.0,33
2023,16,14,-2.4,0.7,-1.2,0.8,11.5,472.0,33
2023,16,15,-4.2,1.9,-2.7,2.2,8.5,467.0,33
2023,16,16,-2.9,1.8,-2.0,2.1,8.9,457.0,33
2023,16,17,-2.3,2.0,-1.3,2.2,7.7,449.0,33
2023,16,18,-2.3,0.8,-0.2,0.8,6.6,442.0,17
2023,16,19,-1.5,0.7,0.0,0.7,5.8,438.0,17
2023,16,20,-0.7,-1.9,2.1,-2.5,5.2,437.0,17
2023,16,21,-1.9,-1.1,1.4,-1.5,5.1,439.0,7
2023,16,22,0.3,-2.1,1.6,-2.5,5.8,434.0,7
2023,16,23,-4.1,-0.0,1.8,-0.6,5.0,452.0,7
2023,17,0,-4.2,1.6,2.4,0.7,5.4,446.0,0
2023,17,1,-3.6,2.7,1.4,2.1,5.6,435.0,0
2023,17,2,-1.3,3.6,0.9,3.2,5.5,432.0,0
2023,17,3,0.1,4.5,-0.1,4.4,5.3,437.0,17
2023,17,4,2.6,2.4,-1.1,2.6,7.5,450.0,17
2023,17,5,-1.9,1.2,0.5,1.1,8.8,452.0,17
2023,17,6,-2.8,1.5,1.4,1.3,6.7,448.0,17
2023,17,7,-4.0,1.0,1.0,0.9,5.1,437.0,17
2023,17,8,-3.7,0.3,0.4,0.3,5.4,440.0,17
