Year,DOY,Hour,IMF_Mag,Bx_GSE,By_GSE,Bz_GSE,Proton_Density,Plasma_Speed,Kp_index
2023,1,0,-1.9,4.6,-0.7,4.6,2.4,603.0,23
2023,1,1,-3.9,-0.6,0.6,-0.7,2.6,582.0,23
2023,1,2,-3.9,-1.2,1.5,-1.5,2.6,581.0,23
2023,1,3,-3.4,1.5,0.4,1.4,2.4,576.0,30
2023,1,4,-2.4,2.7,0.7,2.6,2.5,585.0,30
2023,1,5,-3.5,0.8,1.7,0.7,2.5,569.0,30
2023,1,6,-4.6,-0.1,0.2,-0.1,2.3,548.0,20
2023,1,7,-4.5,0.6,1.0,0.6,2.2,543.0,20
2023,1,8,-3.2,1.9,0.8,2.0,2.4,553.0,20
2023,1,9,-2.4,2.2,-1.8,2.0,2.4,559.0,27
2023,1,10,-3.2,2.7,0.9,2.8,2.3,546.0,27
2023,1,11,-3.8,-0.6,2.6,-0.4,2.4,541.0,27
2023,1,12,-3.4,1.8,-0.1,1.8,2.4,535.0,17
2023,1,13,-2.6,2.8,-0.6,2.8,2.7,537.0,17
2023,1,14,-1.3,4.1,-0.9,4.1,2.6,539.0,17
2023,1,15,-2.6,3.0,-0.4,3.0,2.6,522.0,27
2023,1,16,-3.3,2.4,-0.4,2.4,2.7,515.0,27
2023,1,17,-1.1,2.1,-1.8,2.3,2.9,525.0,27
2023,1,18,0.1,1.8,-2.7,2.2,3.0,523.0,37
2023,1,19,-0.0,2.7,-3.5,3.3,2.9,523.0,37
2023,1,20,-1.1,0.9,-0.9,1.1,3.5,513.0,37
2023,1,21,-4.0,1.1,1.2,0.8,2.9,487.0,40
2023,1,22,-3.6,-0.5,-1.3,-0.2,3.0,487.0,40
2023,1,23,-1.8,0.6,-2.5,1.2,3.0,499.0,40
2023,2,0,-0.6,2.5,-2.2,3.0,3.1,505.0,20
2023,2,1,-1.1,3.1,-1.3,3.3,3.0,503.0,20
2023,2,2,-2.0,3.4,0.9,3.2,3.0,500.0,20
2023,2,3,-3.2,1.6,2.2,1.2,2.8,486.0,20
2023,2,4,-0.8,4.0,-0.6,4.0,3.0,507.0,20
2023,2,5,-3.4,1.1,2.0,1.0,2.9,479.0,20
2023,2,6,-3.0,2.1,1.2,2.1,2.7,477.0,10
2023,2,7,-3.4,1.8,1.5,1.8,2.6,475.0,10
2023,2,8,-3.3,1.3,1.3,1.4,2.6,473.0,10
2023,2,9,1.4,0.2,-1.3,0.1,3.1,487.0,17
2023,2,10,1.5,-0.5,-1.2,-0.6,3.0,478.0,17
2023,2,11,-1.6,1.7,-0.7,1.6,3.0,455.0,17
2023,2,12,-0.3,-1.7,-2.7,-1.9,3.4,459.0,13
2023,2,13,-0.1,0.8,-2.6,0.7,3.8,456.0,13
2023,2,14,1.0,3.4,0.9,3.4,3.1,455.0,13
2023,2,15,0.5,1.6,0.3,1.6,3.3,443.0,13
2023,2,16,-1.4,0.8,0.0,0.8,4.0,423.0,13
2023,2,17,-2.0,2.5,-0.2,2.5,4.1,416.0,13
2023,2,18,-1.4,2.5,-0.1,2.5,4.4,416.0,20
2023,2,19,-1.3,0.6,-1.5,0.9,4.7,419.0,20
2023,2,20,0.3,-0.1,-1.9,0.3,4.4,418.0,20
2023,2,21,1.3,0.9,-3.1,1.6,4.5,418.0,30
2023,2,22,0.7,-0.5,-3.0,0.3,4.4,415.0,30
2023,2,23,-0.3,2.4,-1.7,2.8,4.4,414.0,30
2023,3,0,-0.7,1.9,0.6,1.7,4.6,414.0,13
2023,3,1,-1.7,1.8,0.8,1.6,4.2,409.0,13
2023,3,2,-0.3,2.2,3.0,1.5,4.2,415.0,13
2023,3,3,-2.0,1.4,1.8,1.1,3.9,402.0,3
2023,3,4,0.3,0.6,-1.2,0.7,3.8,415.0,3
2023,3,5,0.7,2.6,0.1,2.6,3.6,414.0,3
2023,3,6,-0.0,1.2,-1.1,1.2,3.9,409.0,7
2023,3,7,0.6,-0.1,-1.7,-0.1,3.8,409.0,7
2023,3,8,2.1,-0.4,-0.5,-0.4,3.7,411.0,7
2023,3,9,-0.3,2.3,1.2,2.4,3.7,390.0,3
2023,3,10,-0.6,2.7,0.2,2.7,4.0,387.0,3
2023,3,11,-0.4,2.3,-1.0,2.2,4.0,387.0,3
2023,3,12,-1.4,1.7,-0.3,1.7,3.8,378.0,10
2023,3,13,-3.1,0.0,-0.2,-0.0,3.7,366.0,10
2023,3,14,-2.9,-0.6,0.7,-0.6,4.4,373.0,10
2023,3,15,0.7,1.0,-2.5,1.1,4.6,385.0,20
2023,3,16,1.4,2.0,-3.1,2.2,4.8,387.0,20
2023,3,17,0.6,-0.3,-3.5,0.1,5.4,390.0,20
2023,3,18,-5.8,0.6,-0.5,0.7,5.7,383.0,23
2023,3,19,1.3,2.5,-0.9,2.6,7.3,393.0,23
2023,3,20,3.1,4.5,-0.6,4.5,7.6,404.0,23
2023,3,21,2.8,3.3,0.2,3.1,8.7,409.0,27
2023,3,22,1.2,4.4,-1.2,4.6,11.8,418.0,27
2023,3,23,1.6,5.1,-6.0,6.5,13.6,426.0,27
2023,4,0,2.7,9.2,-4.5,10.1,14.1,429.0,40
2023,4,1,5.8,9.2,-4.4,10.0,14.3,433.0,40
